Tweet Id,Tweet text,Company,timestamp,,,Text Blob,,Vader,,,,Clips pattern,,
,,,GMT,EST,IST,polarity,subjectivity,neg,neu,pos,compound,polarity,subjectivity,
1068291441187800000,doubt everything find your own light buddyled led light ledlights ledlight ledlighting lights hpr cree...,cree,29-11-2018 23:51,29-11-2018 18:51,30-11-2018 05:21,0.466666667,0.8,0.152,0.848,0,-0.3612,0.466666667,0.8,
1068335246289090000,rt : man i love my babies cree cairo thank you for choosing me :) TWO HEARTS,cree,30-11-2018 02:45,29-11-2018 21:45,30-11-2018 08:15,0.5,0.8,0,0.553,0.447,0.8658,0.5,0.8,
1068476023056940000,check out nitecore ptac black  cree led tactical lumen flashlight cree via,cree,30-11-2018 12:05,30-11-2018 07:05,30-11-2018 17:35,-0.166666667,0.433333333,0,1,0,0,-0.166666667,0.433333333,
1068477264227000000,check out nitecore tm lumens cree xhp led rechargeable flashlight fl-nite-tm cree via,cree,30-11-2018 12:10,30-11-2018 07:10,30-11-2018 17:40,0,0,0,1,0,0,0,0,
1068477739349370000,check out nitecore pgt cree xp-l hi v led tactical compact flashlight lumens cree via,cree,30-11-2018 12:11,30-11-2018 07:11,30-11-2018 17:41,0,0,0,1,0,0,0,0,
1068515260263390000,cree $cree -% cree inc (nasdaq:cree) gets downgraded to sell by jpmorgan chase co with a price targe...,cree,30-11-2018 14:41,30-11-2018 09:41,30-11-2018 20:11,0,0,0,1,0,0,0,0,
1068539001441700000,cree inc downgrade by jp morgan (ranked st) to underweight $cree cree,cree,30-11-2018 16:15,30-11-2018 11:15,30-11-2018 21:45,0,0,0,0.859,0.141,0.2023,0,0,
1068547662864100000,rt : only when the lasttree has been cut down the lastfish been caught and the laststream poisoned will we realize we...,cree,30-11-2018 16:49,30-11-2018 11:49,30-11-2018 22:19,-0.077777778,0.644444444,0.218,0.782,0,-0.6486,-0.077777778,0.644444444,
1068570117628460000,rt : my father spent many months working in quebec's northern communities in the s and took many photographs here is one of m...,cree,30-11-2018 18:19,30-11-2018 13:19,30-11-2018 23:49,0.3,0.366666667,0,1,0,0,0.3,0.366666667,
1068586921624970000,i am smiling because it it almost quittingtime tgif officeselfie weekendvibes twospirit cree anishinaabe...,cree,30-11-2018 19:25,30-11-2018 14:25,01-12-2018 00:55,0,0,0,0.646,0.354,0.7203,0,0,
1068600943183150000,tia mowry and her babies cree and cairo BABYEMOJI MODIFIER FITZPATRICK TYPE-4 are picture perfect SMILING FACE WITH HEART-SHAPED EYESHEAVY BLACK HEART[?]    cairo cree pictureperfect baby...,cree,30-11-2018 20:21,30-11-2018 15:21,01-12-2018 01:51,0.416666667,0.716666667,0,0.682,0.318,0.8941,0.416666667,0.716666667,
